時間帯,年齢,性別,来場者数
2018-09-20 11:00:00,30代,女性,1
2018-09-20 11:00:00,30代,男性,1
2018-09-21 10:00:00,30代,女性,1
2018-09-21 10:00:00,50代,女性,2
2018-09-21 11:00:00,10代,女性,1
2018-09-21 11:00:00,50代,女性,1
2018-09-21 11:00:00,70代以上,女性,1
2018-09-21 12:00:00,50代,女性,4
2018-09-21 13:00:00,10代,女性,1
2018-09-21 13:00:00,70代以上,男性,1
2018-09-21 14:00:00,30代,女性,1
2018-09-21 14:00:00,30代,男性,1
2018-09-21 14:00:00,50代,女性,1
2018-09-21 14:00:00,50代,男性,1
2018-09-21 15:00:00,10代,女性,1
2018-09-21 15:00:00,10代,男性,1
2018-09-21 15:00:00,30代,女性,1
2018-09-21 15:00:00,50代,女性,2
2018-09-21 15:00:00,50代,男性,3
2018-09-21 16:00:00,30代,女性,2
2018-09-21 17:00:00,10代,女性,1
2018-09-25 13:00:00,10代,女性,4
2018-09-25 13:00:00,10代,男性,1
2018-09-25 14:00:00,10代,男性,1
2018-09-25 14:00:00,50代,女性,1
2018-09-25 15:00:00,10代,女性,1
2018-09-25 15:00:00,50代,女性,1
2018-09-28 15:00:00,10代,女性,1
2018-09-28 15:00:00,30代,女性,1
2018-09-28 15:00:00,30代,男性,2
2018-09-28 15:00:00,50代,女性,7
2018-09-28 15:00:00,50代,男性,2
2018-09-28 15:00:00,70代以上,男性,1
2018-10-02 13:00:00,10代,女性,1
2018-10-02 13:00:00,30代,女性,1
2018-10-02 13:00:00,50代,女性,1
2018-10-02 13:00:00,50代,男性,3
2018-10-02 14:00:00,30代,女性,1
2018-10-02 17:00:00,50代,女性,1
2018-10-05 11:00:00,50代,女性,1
2018-10-05 11:00:00,50代,男性,1
2018-10-05 12:00:00,30代,男性,1
2018-10-05 12:00:00,50代,女性,3
2018-10-05 13:00:00,10代,女性,1
2018-10-05 13:00:00,30代,女性,1
2018-10-05 13:00:00,50代,男性,2
2018-10-05 13:00:00,70代以上,女性,1
2018-10-05 14:00:00,30代,女性,1
2018-10-05 14:00:00,50代,女性,1
2018-10-05 16:00:00,10代,男性,1
2018-10-07 08:00:00,50代,女性,1
2018-10-07 11:00:00,10代,男性,1
2018-10-07 11:00:00,50代,男性,1
2018-10-07 12:00:00,10代,女性,3
2018-10-07 12:00:00,10代,男性,1
2018-10-07 12:00:00,30代,女性,2
2018-10-07 12:00:00,50代,女性,3
2018-10-07 12:00:00,50代,男性,1
2018-10-07 14:00:00,10代,女性,2
2018-10-07 14:00:00,30代,男性,1
2018-10-07 14:00:00,50代,女性,1
2018-10-07 15:00:00,10代,女性,1
2018-10-07 15:00:00,50代,女性,1
2019-01-21 09:00:00,70代以上,女性,1
2019-01-21 10:00:00,30代,男性,1
2019-01-21 10:00:00,50代,女性,2
2019-01-21 11:00:00,30代,男性,1
2019-01-21 12:00:00,30代,女性,1
2019-01-21 12:00:00,50代,女性,1
2019-01-21 12:00:00,70代以上,女性,1
2019-01-21 13:00:00,30代,男性,1
2019-01-21 13:00:00,50代,女性,1
2019-01-21 15:00:00,50代,女性,2
2019-01-22 09:00:00,30代,男性,1
2019-01-22 10:00:00,70代以上,女性,1
2019-01-22 11:00:00,50代,女性,2
2019-01-22 11:00:00,70代以上,女性,1
2019-01-22 12:00:00,30代,女性,1
2019-01-22 12:00:00,50代,女性,1
2019-01-22 12:00:00,50代,男性,1
2019-01-22 12:00:00,70代以上,女性,2
2019-01-23 10:00:00,50代,女性,1
2019-01-23 10:00:00,50代,男性,1
2019-01-23 10:00:00,70代以上,女性,3
2019-01-23 12:00:00,30代,女性,1
2019-01-23 12:00:00,50代,男性,1
2019-01-23 13:00:00,10代,女性,1
2019-01-23 13:00:00,30代,女性,1
2019-01-23 13:00:00,70代以上,男性,1
2019-01-24 11:00:00,10代,女性,1
2019-01-24 11:00:00,30代,男性,1
2019-01-24 11:00:00,50代,女性,1
2019-01-24 12:00:00,50代,女性,1
2019-01-24 12:00:00,50代,男性,1
2019-01-24 12:00:00,70代以上,女性,1
2019-01-24 13:00:00,30代,女性,1
2019-01-24 13:00:00,50代,女性,1
2019-01-24 14:00:00,10代,女性,1
2019-01-24 14:00:00,30代,女性,1
2019-01-24 14:00:00,30代,男性,1
2019-01-24 15:00:00,10代,女性,1
2019-01-25 08:00:00,70代以上,男性,1
2019-01-25 09:00:00,70代以上,女性,1
2019-01-25 10:00:00,10代,女性,1
2019-01-25 10:00:00,30代,男性,1
2019-01-25 10:00:00,50代,女性,1
2019-01-25 11:00:00,30代,女性,1
2019-01-25 12:00:00,50代,女性,1
2019-01-25 13:00:00,30代,男性,1
2019-01-25 14:00:00,50代,女性,1
2019-01-25 14:00:00,70代以上,男性,1
2019-01-25 15:00:00,50代,男性,1
2019-01-26 10:00:00,30代,男性,3
2019-01-26 10:00:00,50代,男性,1
2019-01-26 10:00:00,70代以上,男性,1
2019-01-26 11:00:00,70代以上,女性,1
2019-01-27 10:00:00,30代,女性,1
2019-01-27 10:00:00,70代以上,男性,1
2019-01-27 11:00:00,50代,女性,1
2019-01-27 11:00:00,70代以上,男性,1
2019-01-27 13:00:00,10代,男性,1
2019-01-27 13:00:00,50代,男性,1
2019-01-27 14:00:00,70代以上,女性,1
2019-01-27 15:00:00,10代,女性,1
2019-01-28 09:00:00,70代以上,男性,1
2019-01-28 10:00:00,50代,女性,1
2019-01-28 11:00:00,10代,女性,1
2019-01-28 11:00:00,30代,女性,2
2019-01-28 11:00:00,30代,男性,1
2019-01-28 12:00:00,50代,女性,1
2019-01-28 13:00:00,50代,男性,1
2019-01-28 14:00:00,50代,女性,1
2019-01-28 15:00:00,10代,女性,1
2019-01-29 12:00:00,70代以上,女性,2
2019-01-30 10:00:00,10代,女性,1
2019-01-30 10:00:00,30代,女性,1
2019-01-30 10:00:00,50代,女性,1
2019-01-30 11:00:00,30代,女性,1
2019-01-30 11:00:00,50代,女性,2
2019-01-30 13:00:00,10代,女性,1
2019-01-30 13:00:00,50代,女性,1
2019-01-30 13:00:00,70代以上,男性,1
2019-01-30 14:00:00,10代,女性,1
2019-01-31 12:00:00,10代,女性,1
2019-01-31 12:00:00,10代,男性,2
2019-01-31 12:00:00,50代,女性,1
2019-01-31 12:00:00,70代以上,男性,4
2019-01-31 15:00:00,10代,女性,1
2019-01-31 15:00:00,50代,女性,2
2019-01-31 15:00:00,50代,男性,3
2019-02-01 09:00:00,50代,女性,1
2019-02-01 09:00:00,70代以上,女性,1
2019-02-01 10:00:00,30代,男性,1
2019-02-01 10:00:00,50代,女性,1
2019-02-01 12:00:00,50代,男性,1
2019-02-01 12:00:00,70代以上,男性,1
2019-02-01 13:00:00,50代,女性,1
2019-02-01 13:00:00,70代以上,男性,1
2019-02-01 14:00:00,30代,女性,1
2019-02-01 15:00:00,30代,男性,1
2019-02-01 15:00:00,50代,女性,1
2019-02-02 10:00:00,30代,女性,1
2019-02-02 10:00:00,30代,男性,2
2019-02-02 11:00:00,50代,男性,1
2019-02-02 12:00:00,10代,女性,1
2019-02-02 13:00:00,10代,女性,1
2019-02-02 13:00:00,30代,女性,2
2019-02-02 15:00:00,10代,女性,1
2019-02-03 09:00:00,30代,女性,1
2019-02-03 09:00:00,50代,女性,1
2019-02-03 09:00:00,50代,男性,2
2019-02-03 09:00:00,70代以上,男性,1
2019-02-03 10:00:00,10代,女性,1
2019-02-03 14:00:00,30代,女性,2
2019-02-03 14:00:00,30代,男性,2
2019-02-03 14:00:00,50代,女性,1
2019-02-05 10:00:00,10代,女性,1
2019-02-05 10:00:00,30代,女性,2
2019-02-05 10:00:00,50代,男性,2
2019-02-05 13:00:00,30代,女性,1
2019-02-05 13:00:00,30代,男性,1
2019-02-08 09:00:00,50代,男性,2
2019-02-08 10:00:00,不明,女性,1
2019-02-08 11:00:00,10代,男性,1
2019-02-08 11:00:00,30代,女性,1
2019-02-08 11:00:00,30代,男性,1
2019-02-08 11:00:00,50代,女性,1
2019-02-09 13:00:00,10代,女性,2
2019-02-09 14:00:00,30代,男性,1
2019-02-09 14:00:00,50代,男性,1
2019-02-10 08:00:00,10代,女性,1
2019-02-10 13:00:00,10代,女性,1
2019-02-10 14:00:00,30代,女性,1
2019-02-10 14:00:00,30代,男性,1
2019-02-10 14:00:00,50代,女性,1
2019-02-11 15:00:00,10代,女性,1
2019-02-12 09:00:00,50代,女性,1
2019-02-12 10:00:00,50代,女性,1
2019-02-12 11:00:00,50代,女性,1
2019-02-12 11:00:00,50代,男性,1
2019-02-12 12:00:00,30代,女性,1
2019-02-12 12:00:00,30代,男性,1
2019-02-12 13:00:00,30代,男性,1
2019-02-12 14:00:00,30代,女性,1
2019-02-12 15:00:00,30代,男性,4
2019-02-12 15:00:00,50代,男性,1
2019-02-12 16:00:00,30代,女性,1
2019-02-13 14:00:00,30代,女性,2
2019-02-13 15:00:00,50代,女性,1
2019-02-14 08:00:00,10代,女性,1
2019-02-14 08:00:00,10代,男性,1
2019-02-14 09:00:00,50代,女性,1
2019-02-14 10:00:00,10代,男性,1
2019-02-14 10:00:00,30代,女性,1
2019-02-14 13:00:00,10代,男性,1
2019-02-14 13:00:00,50代,女性,2
2019-02-14 14:00:00,10代,男性,2
2019-02-14 14:00:00,30代,女性,1
2019-02-15 08:00:00,30代,女性,1
2019-02-15 09:00:00,30代,女性,1
2019-02-15 09:00:00,50代,女性,1
2019-02-15 09:00:00,70代以上,女性,1
2019-02-15 10:00:00,50代,女性,1
2019-02-15 11:00:00,30代,女性,1
2019-02-15 12:00:00,10代,女性,1
2019-02-15 12:00:00,50代,女性,1
2019-02-15 15:00:00,10代,男性,1
2019-02-15 15:00:00,30代,女性,1
2019-02-16 09:00:00,10代,女性,2
2019-02-16 09:00:00,30代,女性,1
2019-02-16 09:00:00,50代,女性,1
2019-02-16 10:00:00,70代以上,女性,1
2019-02-16 12:00:00,30代,男性,1
2019-02-16 12:00:00,50代,男性,1
2019-02-16 13:00:00,10代,女性,1
2019-02-16 13:00:00,30代,女性,1
2019-02-16 13:00:00,50代,女性,1
2019-02-17 09:00:00,30代,男性,1
2019-02-17 10:00:00,30代,男性,1
2019-02-17 10:00:00,50代,女性,1
2019-02-17 10:00:00,50代,男性,1
2019-02-17 10:00:00,70代以上,男性,1
2019-02-17 11:00:00,10代,女性,1
2019-02-17 11:00:00,50代,男性,1
2019-02-17 11:00:00,70代以上,男性,1
2019-02-17 12:00:00,50代,女性,3
2019-02-18 09:00:00,50代,女性,2
2019-02-18 09:00:00,70代以上,女性,1
2019-02-19 08:00:00,70代以上,女性,2
2019-02-19 09:00:00,50代,女性,1
2019-02-19 10:00:00,30代,女性,1
2019-02-19 10:00:00,30代,男性,1
2019-02-19 10:00:00,50代,女性,1
2019-02-19 12:00:00,30代,女性,1
2019-02-19 12:00:00,50代,男性,1
2019-02-19 13:00:00,30代,男性,1
2019-02-19 13:00:00,70代以上,男性,1
2019-02-19 14:00:00,50代,女性,1
2019-02-20 08:00:00,10代,女性,1
2019-02-20 08:00:00,10代,男性,2
2019-02-20 09:00:00,50代,男性,1
2019-02-20 10:00:00,50代,女性,1
2019-02-20 12:00:00,30代,女性,2
2019-02-20 13:00:00,10代,男性,1
2019-02-20 14:00:00,10代,女性,1
2019-02-20 14:00:00,50代,女性,1
2019-02-21 09:00:00,30代,女性,1
2019-02-21 10:00:00,30代,女性,1
2019-02-21 10:00:00,70代以上,女性,1
2019-02-21 11:00:00,30代,男性,1
2019-02-21 12:00:00,30代,男性,1
2019-02-21 12:00:00,70代以上,女性,1
2019-02-21 14:00:00,50代,女性,1
2019-02-21 14:00:00,50代,男性,1
2019-02-21 15:00:00,30代,男性,1
2019-02-22 09:00:00,30代,女性,1
2019-02-22 09:00:00,50代,男性,1
2019-02-22 09:00:00,70代以上,男性,1
2019-02-22 10:00:00,30代,女性,2
2019-02-22 12:00:00,10代,女性,1
2019-02-22 12:00:00,30代,女性,2
2019-02-22 13:00:00,10代,女性,1
2019-02-22 13:00:00,50代,女性,1
2019-02-23 10:00:00,30代,男性,1
2019-02-23 10:00:00,50代,女性,1
2019-02-23 10:00:00,50代,男性,2
2019-02-23 13:00:00,50代,女性,2
2019-02-23 13:00:00,50代,男性,1
2019-02-23 14:00:00,10代,男性,1
2019-02-24 08:00:00,10代,女性,1
2019-02-24 08:00:00,50代,男性,1
2019-02-24 09:00:00,30代,女性,1
2019-02-24 09:00:00,30代,男性,1
2019-02-24 09:00:00,50代,男性,1
2019-02-24 12:00:00,30代,男性,1
2019-02-24 12:00:00,50代,女性,2
2019-02-24 12:00:00,50代,男性,1
2019-02-25 08:00:00,30代,男性,1
2019-02-25 09:00:00,30代,女性,1
2019-02-25 09:00:00,50代,女性,2
2019-02-25 09:00:00,70代以上,男性,1
2019-02-25 13:00:00,10代,女性,2
2019-02-25 13:00:00,70代以上,男性,1
2019-02-25 14:00:00,30代,女性,1
2019-02-25 14:00:00,50代,女性,1
2019-02-26 08:00:00,50代,男性,1
2019-02-26 08:00:00,70代以上,男性,1
2019-02-26 09:00:00,30代,女性,2
2019-02-26 10:00:00,30代,女性,1
2019-02-26 12:00:00,10代,女性,1
2019-02-26 13:00:00,50代,女性,2
2019-02-26 13:00:00,70代以上,男性,1
2019-02-26 14:00:00,10代,女性,1
2019-02-27 08:00:00,50代,女性,1
2019-02-27 09:00:00,10代,男性,1
2019-02-27 09:00:00,30代,女性,1
2019-02-27 09:00:00,50代,男性,2
2019-02-27 10:00:00,50代,女性,1
2019-02-27 11:00:00,50代,女性,1
2019-02-27 12:00:00,10代,女性,1
2019-02-27 13:00:00,10代,男性,1
2019-02-27 13:00:00,30代,女性,1
2019-02-27 14:00:00,50代,女性,1
2019-02-28 09:00:00,10代,男性,1
2019-02-28 10:00:00,30代,男性,1
2019-02-28 10:00:00,50代,男性,1
2019-02-28 11:00:00,30代,男性,1
2019-02-28 11:00:00,50代,男性,1
2019-02-28 14:00:00,70代以上,女性,1
2019-03-01 08:00:00,30代,女性,3
2019-03-01 08:00:00,50代,女性,1
2019-03-01 08:00:00,50代,男性,1
2019-03-01 08:00:00,70代以上,女性,1
2019-03-01 09:00:00,50代,男性,1
2019-03-01 10:00:00,30代,男性,1
2019-03-01 10:00:00,70代以上,女性,1
2019-03-01 10:00:00,70代以上,男性,2
2019-03-01 11:00:00,10代,女性,1
2019-03-01 11:00:00,30代,男性,1
2019-03-01 11:00:00,70代以上,男性,1
2019-03-01 12:00:00,70代以上,女性,1
2019-03-01 13:00:00,30代,女性,1
2019-03-02 09:00:00,10代,女性,1
2019-03-02 10:00:00,10代,女性,1
2019-03-02 10:00:00,30代,女性,1
2019-03-02 11:00:00,10代,女性,1
2019-03-02 11:00:00,30代,女性,1
2019-03-02 12:00:00,10代,女性,1
2019-03-02 12:00:00,50代,男性,2
2019-03-03 13:00:00,10代,女性,1
2019-03-03 13:00:00,30代,男性,3
2019-03-03 13:00:00,50代,女性,1
2019-03-03 13:00:00,50代,男性,1
2019-03-04 08:00:00,50代,女性,1
2019-03-04 09:00:00,70代以上,男性,1
2019-03-04 11:00:00,10代,女性,1
2019-03-04 11:00:00,30代,女性,1
2019-03-04 11:00:00,50代,女性,1
2019-03-04 11:00:00,50代,男性,1
2019-03-04 15:00:00,50代,女性,2
2019-03-05 09:00:00,50代,女性,1
2019-03-05 09:00:00,70代以上,男性,1
2019-03-05 11:00:00,50代,男性,1
2019-03-05 12:00:00,10代,女性,1
2019-03-05 12:00:00,30代,女性,1
2019-03-05 12:00:00,70代以上,男性,1
2019-03-06 10:00:00,30代,女性,1
2019-03-06 10:00:00,50代,女性,3
2019-03-06 10:00:00,50代,男性,1
2019-03-06 12:00:00,30代,女性,2
2019-03-06 12:00:00,50代,男性,1
2019-03-06 12:00:00,70代以上,女性,1
2019-03-06 13:00:00,50代,男性,1
2019-03-07 09:00:00,30代,女性,1
2019-03-07 09:00:00,50代,男性,2
2019-03-07 10:00:00,70代以上,女性,1
2019-03-07 10:00:00,70代以上,男性,1
2019-03-07 12:00:00,10代,女性,1
2019-03-07 12:00:00,50代,女性,1
2019-03-07 14:00:00,30代,女性,1
2019-03-07 14:00:00,50代,男性,1
2019-03-07 14:00:00,70代以上,男性,1
2019-03-08 08:00:00,50代,男性,1
2019-03-08 09:00:00,10代,女性,1
2019-03-08 09:00:00,30代,女性,3
2019-03-08 09:00:00,70代以上,男性,1
2019-03-08 12:00:00,10代,女性,1
2019-03-08 12:00:00,30代,女性,1
2019-03-08 12:00:00,30代,男性,1
2019-03-08 12:00:00,50代,女性,1
2019-03-08 12:00:00,50代,男性,1
2019-03-08 13:00:00,50代,男性,1
2019-03-09 09:00:00,30代,女性,1
2019-03-09 09:00:00,50代,女性,1
2019-03-09 09:00:00,70代以上,女性,1
2019-03-09 12:00:00,30代,男性,1
2019-03-09 12:00:00,50代,女性,1
2019-03-09 12:00:00,50代,男性,2
2019-03-09 13:00:00,30代,男性,1
2019-03-10 10:00:00,30代,女性,1
2019-03-10 10:00:00,50代,男性,2
2019-03-10 11:00:00,30代,女性,1
2019-03-10 11:00:00,50代,女性,1
2019-03-10 13:00:00,30代,女性,1
2019-03-10 13:00:00,70代以上,女性,1
2019-03-10 14:00:00,50代,女性,1
2019-03-10 14:00:00,70代以上,男性,1
2019-03-11 09:00:00,50代,女性,1
2019-03-11 10:00:00,10代,女性,2
2019-03-11 12:00:00,10代,女性,1
2019-03-11 12:00:00,30代,女性,1
2019-03-11 13:00:00,10代,男性,1
2019-03-11 13:00:00,50代,男性,1
2019-03-12 09:00:00,70代以上,男性,1
2019-03-12 10:00:00,10代,女性,1
2019-03-12 10:00:00,50代,女性,2
2019-03-12 10:00:00,70代以上,女性,1
2019-03-12 11:00:00,10代,女性,1
2019-03-12 13:00:00,50代,女性,1
2019-03-12 13:00:00,50代,男性,1
2019-03-13 11:00:00,10代,男性,1
2019-03-13 11:00:00,30代,男性,1
2019-03-13 11:00:00,50代,女性,1
2019-03-13 11:00:00,70代以上,女性,1
2019-03-13 14:00:00,30代,女性,1
2019-03-13 14:00:00,50代,女性,2
2019-03-14 08:00:00,50代,男性,1
2019-03-14 10:00:00,50代,女性,3
2019-03-14 11:00:00,30代,男性,1
2019-03-14 11:00:00,不明,女性,1
2019-03-14 12:00:00,50代,女性,1
2019-03-14 13:00:00,50代,女性,2
2019-03-14 14:00:00,50代,男性,1
2019-03-14 16:00:00,10代,男性,1
2019-03-15 09:00:00,30代,女性,2
2019-03-15 09:00:00,50代,女性,1
2019-03-15 09:00:00,70代以上,男性,1
2019-03-15 10:00:00,30代,女性,1
2019-03-15 12:00:00,30代,女性,1
2019-03-15 12:00:00,50代,男性,1
2019-03-15 13:00:00,10代,女性,1
2019-03-15 13:00:00,50代,女性,1
2019-03-15 13:00:00,70代以上,男性,1
2019-03-16 10:00:00,50代,女性,3
2019-03-16 12:00:00,50代,女性,1
2019-03-16 12:00:00,50代,男性,1
2019-03-16 12:00:00,70代以上,女性,1
2019-03-16 13:00:00,50代,女性,1
2019-03-16 13:00:00,50代,男性,1
2019-03-17 09:00:00,50代,男性,3
2019-03-17 09:00:00,70代以上,男性,1
2019-03-17 10:00:00,30代,女性,1
2019-03-17 13:00:00,70代以上,女性,1
2019-03-17 14:00:00,30代,女性,1
2019-03-17 14:00:00,30代,男性,1
2019-03-17 14:00:00,50代,男性,1
2019-03-18 10:00:00,50代,女性,4
2019-03-18 11:00:00,70代以上,女性,1
2019-03-18 12:00:00,10代,女性,1
2019-03-18 12:00:00,50代,女性,2
2019-03-18 12:00:00,70代以上,男性,1
2019-03-18 13:00:00,50代,女性,1
2019-03-19 09:00:00,50代,男性,1
2019-03-19 10:00:00,10代,男性,1
2019-03-19 10:00:00,50代,女性,3
2019-03-19 12:00:00,50代,女性,1
2019-03-19 13:00:00,10代,女性,1
2019-03-19 15:00:00,30代,女性,1
2019-03-19 15:00:00,50代,男性,1
2019-03-19 15:00:00,70代以上,男性,1
2019-03-20 09:00:00,10代,女性,1
2019-03-20 09:00:00,30代,女性,3
2019-03-20 09:00:00,70代以上,男性,1
2019-03-20 12:00:00,30代,女性,2
2019-03-20 12:00:00,30代,男性,1
2019-03-20 12:00:00,70代以上,女性,1
2019-03-20 12:00:00,70代以上,男性,1
2019-03-21 09:00:00,50代,女性,2
2019-03-21 10:00:00,50代,男性,1
2019-03-21 11:00:00,30代,男性,1
2019-03-21 13:00:00,50代,女性,1
2019-03-21 13:00:00,70代以上,男性,1
2019-03-21 14:00:00,50代,女性,2
2019-03-21 14:00:00,不明,女性,1
2019-03-22 08:00:00,30代,男性,1
2019-03-22 09:00:00,10代,女性,1
2019-03-22 09:00:00,50代,女性,1
2019-03-22 12:00:00,10代,女性,1
2019-03-22 12:00:00,50代,男性,1
2019-03-22 13:00:00,10代,男性,1
2019-03-22 13:00:00,30代,女性,1
2019-03-22 13:00:00,30代,男性,1
2019-03-23 10:00:00,30代,女性,2
2019-03-23 10:00:00,50代,男性,1
2019-03-23 12:00:00,50代,男性,2
2019-03-23 12:00:00,70代以上,女性,2
2019-03-23 13:00:00,70代以上,男性,1
2019-03-24 08:00:00,30代,女性,1
2019-03-24 08:00:00,50代,女性,1
2019-03-24 09:00:00,30代,女性,1
2019-03-24 09:00:00,50代,男性,1
2019-03-24 09:00:00,70代以上,女性,1
2019-03-24 12:00:00,30代,女性,1
2019-03-24 12:00:00,70代以上,女性,1
2019-03-24 12:00:00,70代以上,男性,1
2019-03-25 09:00:00,10代,男性,1
2019-03-25 10:00:00,10代,女性,1
2019-03-25 10:00:00,10代,男性,1
2019-03-25 10:00:00,30代,女性,1
2019-03-25 10:00:00,50代,女性,1
2019-03-25 12:00:00,30代,女性,1
2019-03-25 12:00:00,70代以上,女性,1
2019-03-25 13:00:00,30代,男性,1
2019-03-25 14:00:00,30代,女性,1
2019-03-25 15:00:00,30代,男性,1
2019-03-25 15:00:00,50代,男性,1
2019-03-26 09:00:00,10代,女性,1
2019-03-26 09:00:00,50代,女性,3
2019-03-26 10:00:00,10代,男性,1
2019-03-26 12:00:00,10代,男性,1
2019-03-26 12:00:00,30代,男性,1
2019-03-26 12:00:00,50代,女性,1
2019-03-27 10:00:00,10代,男性,1
2019-03-27 10:00:00,70代以上,女性,1
2019-03-27 11:00:00,30代,男性,2
2019-03-27 11:00:00,70代以上,女性,1
2019-03-27 12:00:00,50代,女性,1
2019-03-27 12:00:00,50代,男性,1
2019-03-27 12:00:00,70代以上,女性,1
2019-03-28 09:00:00,50代,女性,2
2019-03-28 10:00:00,30代,女性,1
2019-03-28 11:00:00,70代以上,女性,1
2019-03-28 11:00:00,70代以上,男性,1
2019-03-28 13:00:00,30代,女性,1
2019-03-28 14:00:00,10代,女性,1
2019-03-28 14:00:00,30代,男性,1
2019-03-28 14:00:00,50代,女性,2
2019-03-29 08:00:00,50代,男性,1
2019-03-29 09:00:00,30代,女性,1
2019-03-29 09:00:00,50代,女性,2
2019-03-29 12:00:00,30代,女性,3
2019-03-29 12:00:00,50代,女性,2
2019-03-30 09:00:00,50代,女性,2
2019-03-30 09:00:00,50代,男性,1
2019-03-30 10:00:00,30代,女性,1
2019-03-30 10:00:00,50代,女性,1
2019-03-31 09:00:00,50代,女性,1
2019-03-31 10:00:00,50代,男性,1
2019-03-31 11:00:00,30代,女性,2
2019-03-31 11:00:00,50代,男性,1
2019-03-31 12:00:00,10代,女性,1
2019-03-31 12:00:00,30代,女性,1
2019-03-31 12:00:00,50代,女性,2
2019-03-31 15:00:00,70代以上,男性,1
2019-04-01 10:00:00,10代,女性,1
2019-04-01 10:00:00,10代,男性,1
2019-04-01 10:00:00,70代以上,女性,1
2019-04-01 11:00:00,50代,女性,2
2019-04-01 12:00:00,50代,女性,1
2019-04-01 13:00:00,10代,男性,1
2019-04-01 13:00:00,50代,男性,1
2019-04-01 16:00:00,10代,男性,1
2019-04-01 16:00:00,30代,男性,1
2019-04-02 11:00:00,70代以上,男性,1
2019-04-02 12:00:00,30代,女性,1
2019-04-02 12:00:00,50代,女性,1
2019-04-02 13:00:00,50代,女性,1
2019-04-02 13:00:00,70代以上,男性,1
2019-04-02 14:00:00,50代,女性,1
2019-04-02 14:00:00,50代,男性,1
2019-04-02 15:00:00,50代,女性,1
2019-04-03 11:00:00,10代,女性,1
2019-04-03 11:00:00,10代,男性,1
2019-04-03 11:00:00,70代以上,女性,2
2019-04-03 12:00:00,50代,女性,1
2019-04-03 13:00:00,50代,女性,1
2019-04-03 15:00:00,30代,男性,1
2019-04-03 15:00:00,50代,女性,3
2019-04-04 09:00:00,50代,女性,2
2019-04-04 10:00:00,30代,男性,1
2019-04-04 10:00:00,50代,女性,1
2019-04-04 11:00:00,50代,男性,1
2019-04-04 12:00:00,30代,女性,1
2019-04-04 12:00:00,50代,女性,1
2019-04-04 13:00:00,10代,女性,1
2019-04-04 15:00:00,50代,女性,1
2019-04-05 09:00:00,10代,女性,1
2019-04-05 09:00:00,30代,女性,2
2019-04-05 09:00:00,30代,男性,1
2019-04-05 10:00:00,50代,女性,1
2019-04-05 13:00:00,50代,女性,1
2019-04-05 13:00:00,70代以上,男性,1
2019-04-05 15:00:00,10代,男性,1
2019-04-05 15:00:00,50代,女性,2
2019-04-06 09:00:00,30代,男性,1
2019-04-06 09:00:00,50代,女性,3
2019-04-06 12:00:00,50代,女性,2
2019-04-06 13:00:00,30代,女性,1
2019-04-06 13:00:00,50代,男性,1
2019-04-06 14:00:00,10代,男性,1
2019-04-07 09:00:00,30代,女性,2
2019-04-07 09:00:00,30代,男性,1
2019-04-07 09:00:00,50代,女性,1
2019-04-07 12:00:00,30代,女性,1
2019-04-07 12:00:00,50代,男性,1
2019-04-07 13:00:00,10代,男性,1
2019-04-07 13:00:00,50代,男性,1
2019-04-08 09:00:00,30代,男性,1
2019-04-08 09:00:00,70代以上,男性,1
2019-04-08 10:00:00,10代,男性,1
2019-04-08 10:00:00,30代,女性,1
2019-04-08 10:00:00,50代,女性,1
2019-04-08 11:00:00,70代以上,男性,1
2019-04-08 12:00:00,30代,男性,1
2019-04-08 12:00:00,70代以上,男性,1
2019-04-08 13:00:00,30代,女性,2
2019-04-08 14:00:00,50代,男性,1
2019-04-09 09:00:00,10代,女性,1
2019-04-09 09:00:00,50代,女性,2
2019-04-09 09:00:00,70代以上,女性,1
2019-04-09 10:00:00,10代,男性,1
2019-04-09 14:00:00,30代,女性,1
2019-04-09 14:00:00,50代,女性,2
2019-04-09 15:00:00,30代,女性,1
2019-04-09 15:00:00,30代,男性,1
2019-04-09 15:00:00,70代以上,女性,1
2019-04-10 09:00:00,50代,女性,1
2019-04-10 09:00:00,50代,男性,1
2019-04-10 10:00:00,50代,女性,2
2019-04-10 11:00:00,50代,男性,1
2019-04-10 13:00:00,50代,女性,1
2019-04-10 13:00:00,70代以上,男性,1
2019-04-10 14:00:00,30代,男性,1
2019-04-10 14:00:00,50代,女性,1
2019-04-10 14:00:00,70代以上,女性,1
2019-04-11 09:00:00,30代,女性,1
2019-04-11 10:00:00,70代以上,男性,1
2019-04-11 11:00:00,10代,女性,1
2019-04-11 11:00:00,30代,男性,1
2019-04-11 11:00:00,50代,男性,1
2019-04-11 13:00:00,30代,女性,1
2019-04-11 13:00:00,50代,女性,1
2019-04-11 14:00:00,30代,女性,1
2019-04-11 15:00:00,50代,女性,1
2019-04-11 16:00:00,70代以上,男性,1
2019-04-12 09:00:00,10代,女性,1
2019-04-12 09:00:00,30代,女性,1
2019-04-12 09:00:00,50代,女性,1
2019-04-12 10:00:00,10代,男性,1
2019-04-12 10:00:00,50代,女性,1
2019-04-12 10:00:00,70代以上,女性,1
2019-04-12 13:00:00,50代,女性,2
2019-04-12 13:00:00,70代以上,女性,1
2019-04-12 14:00:00,10代,男性,1
2019-04-12 14:00:00,50代,女性,1
2019-04-13 10:00:00,30代,女性,2
