取引日時,商品カテゴリ,商品ID,商品名,商品単価,原価,数量
2020/04/03 14:19:28,入場料,8000181,入場料600円,600,,1
2020/04/03 14:23:55,入場料,8000181,入場料600円,600,,2
2020/04/03 14:26:13,入場料,8000181,入場料600円,600,,1
2020/04/03 14:27:09,入場料,8000185,減免0円　手帳,0,,1
2020/04/03 14:35:07,入場料,8000181,入場料600円,600,,2
2020/04/03 14:38:23,入場料,8000181,入場料600円,600,,2
2020/04/03 14:52:09,カフェ,8000164,スパークリングセット,1000,,1
2020/04/03 14:52:09,カフェ,36,抹茶,600,151.2,1
2020/04/03 15:03:12,カフェ,8000164,スパークリングセット,1000,,2
2020/04/03 15:07:14,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:10:01,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 15:10:01,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,1
2020/04/03 15:18:47,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/03 15:18:47,カフェ,8000150,セット　最中アイス・冷抹茶,900,207,1
2020/04/03 15:23:19,入場料,8000181,入場料600円,600,,2
2020/04/03 15:29:01,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/03 15:31:32,入場料,8000181,入場料600円,600,,1
2020/04/03 15:37:02,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:44:51,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:59:54,入場料,8000181,入場料600円,600,,1
2020/04/03 16:01:47,カフェ,8000164,スパークリングセット,1000,,1
2020/04/03 16:01:47,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/03 16:04:36,入場料,8000181,入場料600円,600,,2
2020/04/03 16:09:36,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/03 16:09:36,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 16:13:15,入場料,8000181,入場料600円,600,,1
2020/04/03 16:14:39,入場料,8000181,入場料600円,600,,2
2020/04/03 16:19:27,カフェ,8000050,ゆずジュース,600,129,2
2020/04/03 16:42:14,入場料,8000181,入場料600円,600,,1
2020/04/03 18:02:35,入場料,8000187,施設母屋二階午後,3800,,1
2020/04/04 9:04:27,入場料,8000184,減免0円　敬老,0,,1
2020/04/04 9:04:27,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 10:06:40,入場料,8000181,入場料600円,600,,1
2020/04/04 10:22:56,入場料,8000181,入場料600円,600,,2
2020/04/04 10:24:23,入場料,8000181,入場料600円,600,,2
2020/04/04 10:30:17,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 10:30:37,入場料,8000181,入場料600円,600,,2
2020/04/04 10:42:43,入場料,8000193,減免　その他特例,0,,1
2020/04/04 10:42:43,入場料,8000185,減免0円　手帳,0,,1
2020/04/04 10:42:43,入場料,8000181,入場料600円,600,,3
2020/04/04 10:43:54,入場料,8000184,減免0円　敬老,0,,1
2020/04/04 10:57:26,カフェ,41,ロシアケーキ,300,181.4,2
2020/04/04 10:57:26,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 11:37:19,入場料,8000184,減免0円　敬老,0,,1
2020/04/04 11:37:19,入場料,8000181,入場料600円,600,,2
2020/04/04 11:46:29,入場料,8000181,入場料600円,600,,1
2020/04/04 12:07:18,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 12:25:19,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 12:25:19,入場料,8000181,入場料600円,600,,1
2020/04/04 12:27:26,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/04 12:27:26,入場料,8000181,入場料600円,600,,1
2020/04/04 12:34:01,入場料,8000181,入場料600円,600,,1
2020/04/04 12:43:39,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 12:44:26,入場料,8000187,施設母屋二階午後,3800,,1
2020/04/04 12:55:55,入場料,8000181,入場料600円,600,,1
2020/04/04 13:05:15,カフェ,40,セット　どら焼き・コーヒー,800,275,2
2020/04/04 13:05:15,入場料,8000193,減免　その他特例,0,,1
2020/04/04 13:05:15,入場料,8000184,減免0円　敬老,0,,2
2020/04/04 13:05:15,入場料,8000185,減免0円　手帳,0,,1
2020/04/04 13:16:13,入場料,8000181,入場料600円,600,,1
2020/04/04 13:18:20,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/04 13:20:59,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 13:20:59,入場料,8000181,入場料600円,600,,3
2020/04/04 13:27:04,入場料,8000181,入場料600円,600,,1
2020/04/04 13:27:09,入場料,8000181,入場料600円,600,,2
2020/04/04 13:29:03,入場料,8000181,入場料600円,600,,1
2020/04/04 13:48:20,入場料,8000181,入場料600円,600,,2
2020/04/04 13:50:46,入場料,8000184,減免0円　敬老,0,,1
2020/04/04 13:56:59,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/04 13:56:59,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/04 14:02:31,入場料,8000181,入場料600円,600,,2
2020/04/04 14:09:08,入場料,8000184,減免0円　敬老,0,,2
2020/04/04 14:09:47,入場料,8000181,入場料600円,600,,1
2020/04/04 14:13:56,入場料,8000184,減免0円　敬老,0,,1
2020/04/04 14:17:57,カフェ,8000041,セット　どら焼き・アイスコーヒー,800,236,1
2020/04/04 14:21:48,カフェ,33,どら焼,300,194,1
2020/04/04 14:21:48,カフェ,36,抹茶,600,151.2,1
2020/04/04 14:25:06,入場料,8000181,入場料600円,600,,2
2020/04/04 14:32:21,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 14:32:21,入場料,8000181,入場料600円,600,,2
2020/04/04 14:33:09,入場料,8000193,減免　その他特例,0,,1
2020/04/04 14:33:09,入場料,8000181,入場料600円,600,,2
2020/04/04 14:40:26,入場料,8000181,入場料600円,600,,4
2020/04/04 14:56:48,カフェ,44,限定茶菓子,1000,351.8,2
2020/04/04 14:57:19,入場料,8000181,入場料600円,600,,3
2020/04/04 15:05:53,入場料,8000181,入場料600円,600,,1
2020/04/04 15:08:18,入場料,8000181,入場料600円,600,,2
2020/04/04 15:10:57,入場料,8000181,入場料600円,600,,2
2020/04/04 15:13:17,入場料,8000181,入場料600円,600,,2
2020/04/04 15:16:26,入場料,8000182,入場料500円,500,,2
2020/04/04 15:22:21,入場料,8000185,減免0円　手帳,0,,2
2020/04/04 15:25:06,入場料,8000181,入場料600円,600,,2
2020/04/04 15:26:59,入場料,8000181,入場料600円,600,,1
2020/04/04 15:30:41,入場料,8000189,茶室午前,3200,,1
2020/04/04 15:30:41,入場料,8000181,入場料600円,600,,2
2020/04/04 15:36:17,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/04 15:36:17,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/04 15:40:31,カフェ,8000041,セット　どら焼き・アイスコーヒー,800,236,1
2020/04/04 15:40:31,カフェ,33,どら焼,300,194,1
2020/04/04 15:40:31,カフェ,36,抹茶,600,151.2,1
2020/04/04 15:45:19,入場料,8000181,入場料600円,600,,1
2020/04/04 15:49:13,カフェ,44,限定茶菓子,1000,351.8,1
2020/04/04 16:07:05,入場料,8000193,減免　その他特例,0,,1
2020/04/04 16:07:05,入場料,8000185,減免0円　手帳,0,,1
2020/04/04 16:07:05,入場料,8000181,入場料600円,600,,2
2020/04/04 16:10:10,入場料,8000181,入場料600円,600,,2
2020/04/04 16:12:33,入場料,8000181,入場料600円,600,,2
2020/04/04 16:17:40,カフェ,8000151,最中アイス,400,162,2
2020/04/04 16:24:30,カフェ,8000150,セット　最中アイス・冷抹茶,900,207,1
