タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2019-11-28 13:36:00,知らなかった
2019-11-28 13:49:11,知らなかった
2019-11-28 13:49:27,知らなかった
2019-11-28 14:05:55,知らなかった
2019-11-28 14:23:35,知らなかった
2019-11-28 14:23:42,知らなかった
2019-11-28 14:23:46,知らなかった
2019-11-28 14:29:11,知らなかった
2019-11-28 14:34:31,知らなかった
2019-11-28 14:39:18,知らなかった
2019-11-28 14:42:05,知らなかった
2019-11-28 14:43:37,知らなかった
2019-11-28 14:47:49,お知り合い
2019-11-28 14:48:14,チラシ
2019-11-28 14:59:04,知らなかった
2019-11-28 15:12:05,知らなかった
2019-11-28 15:34:17,知らなかった
2019-11-28 15:36:19,知らなかった
2019-11-28 15:49:06,知らなかった
2019-11-28 16:00:47,知らなかった
2019-11-28 16:04:11,広報誌
2019-11-28 16:05:40,チラシ
2019-11-28 16:08:37,知らなかった
2019-11-28 16:20:14,知らなかった
2019-11-28 16:35:43,チラシ
2019-11-29 14:26:05,チラシ
2019-09-28 9:02:53,知らなかった
2019-09-28 9:14:10,知らなかった
2019-09-28 9:14:35,他のウェブサイト
2019-09-28 9:40:17,知らなかった
2019-09-28 9:47:27,公式ホームページ
2019-09-28 9:47:34,知らなかった
2019-09-28 10:28:27,公式ホームページ
2019-09-28 10:59:35,公式ホームページ
2019-09-28 11:07:07,公式ホームページ
2019-09-28 11:47:06,知らなかった
2019-09-28 12:02:45,知らなかった
2019-09-28 12:51:52,公式ホームページ
2019-09-28 15:17:51,知らなかった
2019-09-28 15:18:00,公式Facebook
2019-09-28 15:27:40,知らなかった
2019-09-28 15:27:44,お知り合い
2019-09-28 15:27:49,知らなかった
2019-09-28 15:43:56,知らなかった
2019-09-28 16:04:09,チラシ
2019-09-28 16:04:16,お知り合い
2020-07-28 9:09:51,公式ホームページ
2020-07-28 9:50:56,知らなかった
2020-07-28 11:01:53,公式ホームページ
2020-07-28 11:49:04,公式ホームページ
2020-07-28 12:53:26,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-07-28 12:53:32,公式Twitter
2020-07-28 13:39:20,知らなかった
2020-07-28 13:53:12,公式ホームページ
2020-07-28 14:10:00,公式ホームページ
2020-07-28 14:14:17,知らなかった
2020-07-28 14:14:24,公式ホームページ
2020-07-28 14:46:41,公式ホームページ
2020-07-28 16:17:00,公式ホームページ
2020-07-28 16:47:56,知らなかった
2021-07-28 10:43:20,公式ホームページ
2021-07-28 11:03:17,公式ホームページ
2021-07-28 11:03:26,公式ホームページ
2021-07-28 11:03:33,公式ホームページ
2021-07-28 11:03:39,公式ホームページ
2021-07-28 11:40:18,チラシ
2021-07-28 13:01:30,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-07-28 13:01:43,公式ホームページ
